observation_date;CH_GDP;CH_CPI;US_CPI;US_GDP
1996-01-01;1,22079;1,0650540;2,7397260;2,60131
1996-04-01;0,57775;0,7911302;2,8471310;4,00238
1996-07-01;-0,03197;0,6081141;2,9437420;4,05013
1996-10-01;0,47767;0,7837127;3,1901040;4,42145
1997-01-01;-0,21338;0,7325879;2,9462370;4,31407
1997-04-01;1,85524;0,5268150;2,3424190;4,31127
1997-07-01;3,29485;0,4671831;2,2029230;4,67470
1997-10-01;3,46646;0,3549454;1,8717140;4,48355
1998-01-01;3,96685;0,0037682;1,4622940;4,85553
1998-04-01;3,63770;0,0535116;1,6021640;4,09279
1998-07-01;2,33222;0,0921524;1,5958550;4,10345
1998-10-01;1,21801;-0,0775893;1,5483070;4,88313
1999-01-01;0,95202;0,2760184;1,6676960;4,81634
1999-04-01;0,37768;0,5812104;2,1093590;4,72189
1999-07-01;1,15741;0,9662702;2,3459810;4,79112
1999-10-01;4,24122;1,4028930;2,6224840;4,82357
2000-01-01;4,40853;1,5639580;3,2401780;4,22474
2000-04-01;3,80648;1,6073360;3,3293220;5,24446
2000-07-01;3,76685;1,4838090;3,5080730;3,97317
2000-10-01;2,58768;1,5791840;3,4271000;2,90559
2001-01-01;2,14597;1,0166930;3,3934880;2,19751
2001-04-01;2,40383;1,5042520;3,3773290;0,99630
2001-07-01;1,51389;1,0254910;2,6959370;0,48924
2001-10-01;0,33064;0,4138341;1,8578820;0,16732
2002-01-01;0,10700;0,5617604;1,2521340;1,33726
2002-04-01;0,65027;0,6894050;1,2955310;1,32538
2002-07-01;0,76774;0,3053551;1,5938500;2,14652
2002-10-01;-0,00388;1,0144210;2,2000750;1,99252
2003-01-01;-0,53789;1,0449330;2,8667790;1,67926
2003-04-01;-1,46823;0,5446356;2,1316030;1,95507
2003-07-01;-0,47663;0,4460655;2,1963830;3,23114
2003-10-01;1,35583;0,5199609;1,8951240;4,30044
2004-01-01;2,60502;0,0551516;1,7850640;4,34195
2004-04-01;3,40428;0,8657903;2,8675140;4,22749
2004-07-01;2,52586;0,9081330;2,7271080;3,49486
2004-10-01;1,82922;1,3806110;3,3224990;3,35110
2005-01-01;1,80929;1,3521470;3,0422330;3,90884
2005-04-01;2,75041;1,0590730;2,9463660;3,61774
2005-07-01;3,29904;1,1821210;3,8326300;3,44860
2005-10-01;3,93651;1,0970290;3,7399510;2,97274
2006-01-01;4,81227;1,2342400;3,6471000;3,21311
2006-04-01;3,77077;1,3274590;4,0102830;2,97290
2006-07-01;3,80634;1,2228460;3,3355910;2,32528
2006-10-01;4,16011;0,4588559;1,9373320;2,63456
2007-01-01;3,60140;0,0877767;2,4240950;1,57672
2007-04-01;4,35341;0,5242772;2,6506840;1,93437
2007-07-01;4,34189;0,6343362;2,3604780;2,36804
2007-10-01;3,63862;1,6794610;3,9743840;2,13336
2008-01-01;3,19569;2,4739820;4,0954280;1,39247
2008-04-01;3,54916;2,6841250;4,3793850;1,37601
2008-07-01;3,18224;2,9744790;5,3028140;0,26597
2008-10-01;0,23517;1,5814990;1,6016870;-2,54115
2009-01-01;-2,02603;-0,0163853;-0,0402325;-3,23423
